age,domain,current_job,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary,mui,redux,flutter,node,jest,sql,dart,linux,bootstrap,typescipt,vim,mysql,opencv,communication,aws,react,api,ajax,express,jwt,javascript,git,typescript,nginx,tailwindcss,vercel,python,mongodb,firebase,postman,angular,next,html,tailwind,docker,nest,nodejs,cnn,mongoose,hasura,graphql,go,django,jquery
22,Web Development with Django,MERN Stack developer,Degree,No,No,12.2,Yes,6,Bangalore,"Python, Django, SQL, Git, AWS, Digital Ocean, HTML, CSS, React, Data Structure, Communication ",Yes,6.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
23,MEAN Stack,React Developer,Degree,Yes,No,9.7,Yes,2,Bangalore,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
24,Flutter,Flutter development,Diploma,No,No,10.8,Yes,3,Trivandrum,"React,Python,SQL,Django,Html,Css",No,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,Web Development with Django,MERN Stack developer,No Degree,No,No,7.0,Yes,7,Manjeri,"Html,Css, Javascript,Nodejs, React, Tailwind, Mongodb,Mysql",Yes,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MERN Stack,MERN Stack developer,Degree,No,No,12.7,Yes,3,Manjeri,"React, Node, Html, CSS, SCSS, Next",Yes,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
22,Flutter,React Native developer,No Degree,No,No,11.9,No,4,Bangalore,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,5.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31,MERN Stack,Angular Developer,Degree,Yes,No,12.5,Yes,6,WFH,"Html,CSS",Yes,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
24,MERN Stack,MERN Stack developer,No Degree,No,No,16.0,Yes,1,Trivandrum,"Html,Css, Javascript,Nodejs, React, Tailwind, Mongodb,Mysql",Yes,3.2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
26,MERN Stack,Full Stack Developer,Degree,Yes,No,11.9,No,0,Bangalore,"React, Node, Nest, Next, HTML, CSS, MUI, Socket.io, MongoDB, Javascript, Bootstrap, Tailwind CSS, jQuery, Redux, Express JS, Mongoose, JWT, Git, Postman, Firebase, Vercel, Nginx",Yes,4.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
23,MEAN Stack,Angular Developer,Degree,Yes,No,13.3,Yes,7,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
