domain,batch,placed_company,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary
Web Development Using Python Django,BCK01,VNC Digital Services,Software Engineer,22.0,No Degree,No,No,9.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.0
Web Development Using Node.js Express,BCK01,Emstell Technology Consulting,Software Engineer,21.0,Degree,No,No,12.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.16
Web Development Using Python Django,BCK01,Creative Panda,Node JS Developer,22.0,Degree,Yes,No,9.0,Yes,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.4
MERN Stack,BCK01,NORQ Technologies,Software Developer,23.0,No Degree,No,No,11.0,Yes,7.0,Chennai,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.55
Web Development Using Python Django,BCK01,ActionFi,Software Engineer,22.0,No Degree,No,No,10.0,No,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.4
MERN Stack,BCK01,Spericorn Technology Pvt. Ltd.,Node JS Developer,21.0,Degree,No,No,12.0,No,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.4
MERN Stack,BCK01,Short Castle Technologies Pvt Ltd,Software Developer,21.0,No Degree,Yes,No,8.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.2
Web Development Using Python Django,BCK01,Saasvaap Techies Pvt Ltd,Software Developer,27.0,No Degree,No,Yes [ Non IT industry ],12.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,1.8
Web Development Using Python Django,BCK02,Motionray,Django Developer ,23.0,Degree,No,No,10.0,No,3.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.0
DevOps,BCK02,VVDN Technologies,Assistant Manager (IT),22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,8.0
Mobile Development Using Android Kotlin,BCK02,Stackatech,Android Developer,24.0,Degree,Yes,No,10.0,Yes,5.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.4
Web Development Using Python Django,BCK02,Vanilla Networks Pvt Ltd,Software Engineer,22.0,Degree,No,No,12.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,2.58
MERN Stack,BCK02,Alignminds Technology,Junior Software Engineer,24.0,Degree,No,No,12.0,No,2.0,Bangalore,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,2.7
Web Development Using Python Django,BCK02,ActionFi,Software Engineer,24.0,Degree,No,No,10.0,Yes,7.0,WFH,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,2.4
Web Development Using Python Django,BCK02,Citrus Informatics Pvt. Ltd.,Jr. Software Engineer,22.0,Degree,Yes,No,11.0,Yes,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,1.8
Web Development Using Python Django,BCK03,MonkMind solutions Private Ltd,Software Developer,22.0,No Degree,No,No,13.0,Yes,1.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
MERN Stack,BCK03,VNC Digital Services,Software Engineer,23.0,Degree,Yes,No,10.0,Yes,1.0,WFH,"React, Node, Html, CSS, Mongodb",Yes,3.0
MERN Stack,BCK03,Spericorn Technology Pvt. Ltd.,Fulll Stack Developer,23.0,No Degree,No,No,12.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,2.64
MERN Stack,BCK03,Emstell Technology Consulting,Jr Node js Developer,24.0,Degree,Yes,No,12.0,Yes,1.0,Bangalore,"React,Python,SQL,Django,Html,Css",Yes,2.16
Web Development Using Python Django,BCK03,Creative Panda,Python Developer,24.0,No Degree,No,No,15.0,Yes,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,2.64
Web Development Using Python Django,BCK03,Lanware Solutions,Software Engineer,22.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,4.0,Bangalore,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,3.36
Web Development Using Python Django,BCK03,Skewall,Full Stack Developer,22.0,No Degree,No,No,15.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Web Development Using Node.js Express,BCK03,Alignminds Technology,Software Engineer,25.0,Diploma,No,Yes [ Non IT industry ],13.0,Yes,0.0,Hyderabad ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.0
Mobile Development Using Android Kotlin,BCK04,QubeDynamics,Junior Android Developer,22.0,Degree,Yes,No,12.0,Yes,0.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.76
MERN Stack,BCK04,Spericorn Technology Pvt. Ltd.,Node Js Trainee,22.0,Degree,Yes,No,12.0,Yes,4.0,Hyderabad,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,2.4
Cybersecurity,BCK04,Sky is Limit Technologies,Software Engineer,22.0,No Degree,No,No,12.0,No,7.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,1.8
