age,domain,current_job,degree,cs_bg,experience,avg_time,holidays,week_back,city,graduated,salary,mui,redux,flutter,node,jest,sql,dart,linux,bootstrap,typescipt,vim,mysql,opencv,communication,aws,react,api,ajax,express,jwt,javascript,git,typescript,nginx,tailwindcss,vercel,python,mongodb,firebase,postman,angular,next,html,tailwind,docker,nest,nodejs,cnn,mongoose,hasura,graphql,django,jquery
22,Web Development with Django,MERN Stack developer,Degree,No,No,12.2,Yes,6,Bangalore,Yes,6.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,MEAN Stack,React Developer,Degree,Yes,No,9.7,Yes,2,Bangalore,Yes,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24,Flutter,Flutter development,Diploma,No,No,10.8,Yes,3,Trivandrum,No,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Web Development with Django,MERN Stack developer,No Degree,No,No,7.0,Yes,7,Manjeri,Yes,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MERN Stack,MERN Stack developer,Degree,No,No,12.7,Yes,3,Manjeri,Yes,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
22,Flutter,React Native developer,No Degree,No,No,11.9,No,4,Bangalore,Yes,5.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,MERN Stack,Angular Developer,Degree,Yes,No,12.5,Yes,6,WFH,Yes,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,MERN Stack,MERN Stack developer,No Degree,No,No,16.0,Yes,1,Trivandrum,Yes,3.2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,MERN Stack,Full Stack Developer,Degree,Yes,No,11.9,No,0,Bangalore,Yes,4.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,MEAN Stack,Angular Developer,Degree,Yes,No,13.3,Yes,7,WFH,Yes,5.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,MERN Stack,MERN Stack developer,Degree,No,No,9.3,No,4,WFH,Yes,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,MERN Stack,Angular Developer,No Degree,No,No,12.6,No,7,Others,Yes,6.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Machine Learning,Python developer,Degree,No,No,10.2,Yes,7,Bangalore,Yes,6.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,MERN Stack,React Developer,Diploma,No,Yes [ Non IT industry ],10.2,No,6,Coimbatore,Yes,6.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,MERN Stack,Nest js developer,Degree,No,No,11.0,Yes,7,Kochi,Yes,4.6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
24,MERN Stack,Python developer,Degree,No,No,10.4,Yes,1,WFH,Yes,5.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,MERN Stack,Full Stack Developer,Degree,Yes,No,16.0,No,7,Calicut,Yes,5.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
21,MERN Stack,Flutter developer,Diploma,Yes,No,14.0,Yes,2,Bangalore,No,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,MERN Stack,Flutter Developer,Degree,No,No,14.0,Yes,5,WFH,Yes,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Web Development with Django,MERN Stack developer,Degree,Yes,No,15.0,Yes,7,Kochi,No,3.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
