domain,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,graduated,flutter,angular,python,express,firebase,aws,sql,javascript,jwt,node,html,ajax,hasura,communication,git,jest,mysql,react,graphql,mongodb,cnn,postman,nginx,dart,vim,django,mui,typescript,opencv,jquery,next,linux,sas,vercel,redux,api,bootstrap,mongoose,tailwind,docker,salary
web development using python django,software engineer,22.0,No Degree,No,No,9.0,No,0.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0
web development using node.js express,software engineer,21.0,Degree,No,No,12.0,No,2.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.16
web development using python django,nodejs developer,22.0,Degree,Yes,No,9.0,Yes,4.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.4
mern stack,software developer,23.0,No Degree,No,No,11.0,Yes,7.0,chennai,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.55
web development using python django,software engineer,22.0,No Degree,No,No,10.0,No,4.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.4
mern stack,nodejs developer,21.0,Degree,No,No,12.0,No,4.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.4
mern stack,software developer,21.0,No Degree,Yes,No,8.0,Yes,7.0,manjeri,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.2
web development using python django,software developer,27.0,No Degree,No,Yes [ Non IT industry ],12.0,No,1.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.8
web development using python django,django developer,23.0,Degree,No,No,10.0,No,3.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
devops,assistant manager (it),22.0,Degree,Yes,No,10.0,No,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8.0
mobile development using android kotlin,android developer,24.0,Degree,Yes,No,10.0,Yes,5.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.4
web development using python django,software engineer,22.0,Degree,No,No,12.0,Yes,4.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.58
mern stack,junior software engineer,24.0,Degree,No,No,12.0,No,2.0,bangalore,Yes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.7
web development using python django,software engineer,24.0,Degree,No,No,10.0,Yes,7.0,wfh,Yes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4
web development using python django,junior software engineer,22.0,Degree,Yes,No,11.0,Yes,2.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.8
web development using python django,software developer,22.0,No Degree,No,No,13.0,Yes,1.0,bangalore,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.6
mern stack,software engineer,23.0,Degree,Yes,No,10.0,Yes,1.0,wfh,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
mern stack,full stack developer,23.0,No Degree,No,No,12.0,No,1.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.64
mern stack,junior nodejs developer,24.0,Degree,Yes,No,12.0,Yes,1.0,bangalore,Yes,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
web development using python django,python developer,24.0,No Degree,No,No,15.0,Yes,0.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.64
web development using python django,software engineer,22.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,4.0,bangalore,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.36
web development using python django,fullstack developer,22.0,No Degree,No,No,15.0,Yes,7.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.6
web development using node.js express,software engineer,25.0,Diploma,No,Yes [ Non IT industry ],13.0,Yes,0.0,hyderabad,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0
mobile development using android kotlin,junior android developer,22.0,Degree,Yes,No,12.0,Yes,0.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.76
mern stack,node js trainee,22.0,Degree,Yes,No,12.0,Yes,4.0,hyderabad,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4
cybersecurity,software engineer,22.0,No Degree,No,No,12.0,No,7.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.8
mern stack,junior fullstack developer,21.0,Degree,No,No,12.0,No,4.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
machine learning,product engineer -ai/ml,24.0,No Degree,No,No,12.0,No,3.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.4
web development using python django,junior software engineer,23.0,No Degree,No,No,12.0,No,1.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
web development using python django,junior full stack developer,21.0,No Degree,No,No,10.0,No,5.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.24
mern stack,mern stack developer,21.0,No Degree,No,No,9.0,No,5.0,chennai,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6
mern stack,mern stack developer,22.0,Degree,Yes,No,9.0,Yes,7.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.7
mern stack,product engineer,24.0,No Degree,No,No,12.0,No,7.0,kochi,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6
mern stack,nodejs developer,21.0,No Degree,No,No,10.0,No,7.0,hyderabad,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.4
web development using python django,python developer intern,23.0,No Degree,No,No,12.0,No,0.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.4
web development using node.js express,nodejs developer,24.0,No Degree,No,Yes [ Non IT industry ],14.0,Yes,0.0,manjeri,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4
web development using python django,python django developer,23.0,Degree,No,No,14.0,Yes,4.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.64
web development using python django,software engineer,22.0,No Degree,Yes,No,12.0,Yes,7.0,bangalore,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.25
web development using python django,backend developer,22.0,No Degree,No,No,13.0,Yes,1.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5
