,age,domain,current_job,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary,vercel,nginx,jwt,tailwindcss,git,graphql,typescript,hasura,cnn,sql,html,python,postman,next,django,jest,mongodb,mysql,opencv,redux,node,linux,express,go,javascript,api,mui,dart,communication,mongoose,nodejs,bootstrap,react,flutter,docker,ajax,jquery,angular,firebase,aws,typescipt,tailwind,nest,vim
0,19,MERN Stack,Full stack engineer,No Degree,No,No,16.0,Yes,3,Others,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,9.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,23,MEAN Stack,Angular Developer,No Degree,No,No,12.0,Yes,4,Manjeri,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,4.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,21,MERN Stack,MERN Stack developer,Degree,Yes,No,10.0,No,4,Others,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,6.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,22,MERN Stack,MERN Stack developer,No Degree,No,No,10.0,No,0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
4,25,MEAN Stack,Software Engineer,Degree,No,No,7.5,No,3,WFH,"Angular, Express, Node, javascript, MongoDB, Html, css",No,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,22,MERN Stack,Nest js developer,Degree,No,No,9.0,Yes,7,Chennai,"React,node js , nest js , express js , jest,go etc",Yes,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,31,Machine Learning,Machine Learning Engineer,Degree,No,No,8.0,No,0,WFH,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",No,5.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,22,MEAN Stack,Angular Developer,No Degree,Yes,No,8.0,Yes,7,Manjeri,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
8,24,MERN Stack,Jr Nodejs Developer,Degree,No,No,10.0,No,2,Kochi,"Html,Css, Javascript,Nodejs, React, Tailwind, Mongodb,Mysql",Yes,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9,19,Flutter,Flutter developer,No Degree,No,Bca dropout ,9.0,No,0,Nagercoil,"Dart,Api integration,",Yes,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,24,MERN Stack,React Developer,Degree,No,No,16.0,Yes,4,Bangalore,"React, Node, Html, CSS, SCSS, Next",Yes,3.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,22,Web Development with Django,Flutter Developer,Degree,Yes,No,8.0,No,1,Kochi,"Flutter,iOS, react, django ",No,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,26,Web Development with Django,Data Engineer,Degree,No,Yes [ Non IT industry ],14.0,Yes,1,Calicut,"Python, Django, SQL, Git, AWS, Digital Ocean, HTML, CSS, React, Data Structure, Communication ",Yes,5.5,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13,22,MERN Stack,Full stack engineer,Degree,Yes,No,10.0,No,4,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
14,23,Go,Golang Developer,Degree,No,No,7.0,Yes,0,Pune,"Go, SQL, HTML, CSS",Yes,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
